Day,Question,Option A,Option B,Option C,Option D,Correct Answer,Rationale
5,"What is the main purpose of the <table> element?","To create the main layout of a website.","To display data in rows and columns.","To create a list of items.","To style text.","B","Tables are specifically for presenting tabular data, like spreadsheets."
5,"Which tag defines the header content of a table?","<t-head>","<thead>","<header>","<table-header>","B","<thead> is used to group header content in an HTML table."
5,"Which tag is used to define a single row in a table?","<row>","<line>","<tr>","<td>","C","<tr> stands for 'table row'."
5,"What is the difference between <th> and <td>?","<th> is for header cells, <td> is for data cells.","<th> makes text bold, <td> makes it normal.","<th> is for the first row only, <td> is for all others.","Both A and B are correct.","D","<th> semantically defines a header and is typically bold and centered by default."
5,"Which tag contains the main body content of a table?","<main>","<t-body>","<tbody>","<content>","C","<tbody> is used to group the body content in an HTML table."
5,"How do you make a cell span across two columns?","<td colspan=""2"">","<td rowspan=""2"">","<td span=""2-col"">","<td col-span=""2"">","A","'colspan' allows a single table cell to span the width of more than one column."
5,"How do you make a cell span across two rows?","<td rowspan=""2"">","<td colspan=""2"">","<td span=""2-row"">","<td row-span=""2"">","A","'rowspan' allows a single table cell to span the height of more than one row."
5,"Which tag is used to add a caption or title to a table?","<title>","<legend>","<caption>","<t-caption>","C","The <caption> tag should be inserted immediately after the <table> tag."
5,"For a standard table, what is the correct nesting order of tags?","<table>, <tr>, <td>","<table>, <td>, <tr>","<tr>, <td>, <table>","<td>, <tr>, <table>","A","A table contains rows, and rows contain cells."
5,"Which section of a table is optional?","<thead>","<tbody>","<tr>","Both A and B","D","While <thead> and <tbody> are best practice, a simple table can be made of just <tr> and <td> elements."
5,"The <tfoot> tag is used to group...","The first row of a table.","The main content of a table.","Footer content in a table.","Form content in a table.","C","<tfoot> is used for summary rows at the bottom of a table."
5,"Is using tables for website layout a modern best practice?","Yes, it's the standard way.","No, CSS Flexbox or Grid should be used for layout instead.","Only for simple layouts.","Yes, but only with the layout=""table"" attribute.","B","Tables should be reserved for tabular data, not for page layout, for semantic and accessibility reasons."
5,"If a table row has 4 <td> elements, how many columns does that row have?","1","4","8","It depends on the <thead>.","B","Each <td> or <th> element defines a column within that row."
5,"What is the semantic purpose of <thead>?","To make the header text bold.","To group the header row(s) so they can be styled and identified by assistive technologies.","To fix the header in place when scrolling.","To add a caption.","B","It provides structural meaning, not just styling."
5,"Can a table have multiple <tbody> elements?","No, only one is allowed.","Yes, to separate different blocks of rows within a single table.","Only if it has no <thead>.","Only if it also has multiple <tfoot> elements.","B","This can be useful for styling or scripting distinct sections of table data."
5,"The 'scope' attribute on a <th> tag...","Specifies the number of columns it spans.","Specifies whether it's a header for a 'col' or a 'row'.","Sets the background color.","Restricts the table's width.","B","scope=""col"" or scope=""row"" improves table accessibility by associating header cells with data cells."
5,"Where should the <caption> tag be placed?","Inside the <thead>","Immediately after the opening <table> tag","Inside the <tbody>","At the end, before the closing </table> tag","B","The caption must be the first child of the table."
5,"If one row has a cell with colspan=""3"", and the table has 4 columns total, how many more <td> cells can you add to that specific row?","1","2","3","4","A","The cell with colspan=""3"" takes up 3 columns, leaving space for 1 more in a 4-column table."
5,"What happens if your rows have an inconsistent number of cells?","The table breaks and won't display.","The browser will automatically add empty cells.","The table layout can become skewed and misaligned.","An error is shown in the console.","C","Browsers try to render it, but the result is usually not what you intended."
5,"Which of these is NOT a table-related element?","<tr>","<th>","<tsection>","<td>","C","<tsection> is not a valid HTML tag."
6,"What is 'Semantic HTML'?","Using HTML to create a specific visual look.","A special version of HTML for search engines.","Using HTML tags that accurately describe the meaning and structure of the content.","Using as few tags as possible.","C","Semantic tags like <article> and <nav> tell browsers and developers what the content *is*, not just how it looks."
6,"Which element is best suited for wrapping the main navigation links of a site?","<header>","<div>","<nav>","<menu>","C","<nav> is the semantic tag specifically for major navigation blocks."
6,"What is the difference between a <div> and a <section>?","There is no difference.","A <section> is for grouping distinct sections of a document, while a <div> is a generic, non-semantic container.","A <div> can have a heading, a <section> cannot.","A <section> can only be used once per page.","B","Use <section> when the content inside has a common theme and could have its own heading."
6,"Which tag should contain the main, unique content of a page, excluding headers, footers, and sidebars?","<body>","<main>","<article>","<section>","B","The <main> tag helps assistive technologies quickly find the primary content of the document."
6,"For a self-contained blog post or news story on a page, which tag is most appropriate?","<section>","<article>","<aside>","<div>","B","An <article> should make sense on its own and be potentially distributable (e.g., in an RSS feed)."
6,"Which element is used for content that is tangentially related to the content around it, like a sidebar or a pull quote?","<sidebar>","<details>","<aside>","<section>","C","<aside> is for secondary content that could be considered separate from the main flow."
6,"The top part of a webpage, often containing a logo and navigation, should be wrapped in which tag?","<top>","<header>","<banner>","<start>","B","The <header> element represents introductory content for its nearest ancestor section or for the whole page."
6,"The bottom of a webpage, usually with copyright information and contact links, should be wrapped in which tag?","<bottom>","<end>","<summary>","<footer>","D","The <footer> element contains footer information for its nearest sectioning ancestor."
6,"What is a primary benefit of using semantic HTML?","It makes your code shorter.","It improves accessibility and SEO.","It automatically styles your page.","It's the only way to use CSS.","B","Screen readers can navigate the page more easily, and search engines better understand your content's structure and importance."
6,"Which of these is a non-semantic element?","<article>","<div>","<nav>","<footer>","B","A <div> has no semantic meaning; it's just a generic container for styling or scripting purposes."
6,"What does ARIA stand for?","Accessible Rich Internet Applications","Advanced Regional Internet Access","Automated Reading Interface Area","Action-Request Internet Application","A","ARIA roles and attributes provide extra semantic information for assistive technologies."
6,"An ARIA 'role' attribute (e.g., role=""button"") is used to...","Change the visual appearance of an element.","Define what an element does or what its purpose is when its native tag is not semantic enough.","Hide an element from screen readers.","Add a tooltip to an element.","B","It can make a <div> behave like a button for a screen reader, for example."
6,"If you have a group of navigation links, the most semantic structure is:","<nav><a>Link 1</a><a>Link 2</a></nav>","<nav><p><a>Link 1</a></p><p><a>Link 2</a></p></nav>","<nav><ul><li><a>Link 1</a></li><li><a>Link 2</a></li></ul></nav>","<ul><nav><li><a>Link 1</a></li></nav></ul>","C","A navigation (<nav>) element containing an unordered list (<ul>) of links is the standard, most accessible pattern."
6,"Is it okay to use a <div> inside a <main> element?","No, <main> cannot contain <div>s.","Yes, for grouping content for styling purposes when no other semantic tag is appropriate.","Only if the <div> has an ARIA role.","No, you should use <section> instead.","B","Using <div>s for purely presentational grouping is a perfectly valid and common practice."
6,"What's the relationship between <section> and <article>?","They are interchangeable.","An <article> is a specialized type of <section>; it's self-contained.","A <section> must always be inside an <article>.","An <article> must always be inside a <section>.","B","You can have multiple <article>s inside one <section>, or a <section> inside an <article> (e.g., a comments section)."
6,"When should you use the <b> tag versus the <strong> tag?","<b> is for making text bold, <strong> is for making it italic.","They are the same.","<b> just makes text bold visually, while <strong> indicates the text is important.","<strong> is for headings, <b> is for paragraphs.","C","Use <strong> when you want to convey importance, and <b> when you just want a bold look without adding semantic meaning."
6,"What is the purpose of the <figure> and <figcaption> elements?","To create a table and its caption.","To group an image, chart, or code block with its caption.","To create a form and its legend.","To create a section and its heading.","B","<figure> wraps the media, and <figcaption> provides the associated caption."
6,"A screen reader is a type of...","Web browser.","Assistive technology for visually impaired users.","HTML validator.","Search engine crawler.","B","Screen readers read out the content and semantic structure of a webpage."
6,"Which tag would be most appropriate for a single, primary heading inside a <section>?","A <h1> tag","An <h2> tag","A <h3> tag","It depends on the heading level of the parent section.","D","Headings should follow a logical hierarchy. If the <section> is inside <main> which starts with an <h1>, the section's heading would likely be an <h2>."
6,"Using a <div> with `role=""navigation""` is semantically equivalent to using...","<header>","<section>","<nav>","<aside>","C","However, it's always better to use the native <nav> element when possible."
6,"When building a blog page with multiple posts, each post should be in its own...","<section>","<div>","<article>","<span>","C","Each blog post is a self-contained piece of content, which is the exact use case for <article>."
6,"Which element defines a time or a date?","<date>","<datetime>","<time>","<calendar>","C","You can use the 'datetime' attribute to provide a machine-readable version, e.g., <time datetime=""2025-12-25"">."
6,"What is the main accessibility problem with using a <div> as a button without any ARIA attributes?","It cannot be styled with CSS.","It cannot contain text.","It is not focusable with the keyboard and screen readers don't know it's a button.","It doesn't work on mobile devices.","C","Native <button> elements have keyboard accessibility and semantic roles built-in."
6,"The page's main heading, which describes the entire page, should be an...","<h1>","<h2>","<h3>","<h4>","A","There should generally be only one <h1> per page."
6,"The footer for the entire webpage should be a direct child of which element?","<main>","<html>","<body>","<bottom>","C","A site-wide <footer> should not be nested inside <main> or <article>."
7,"What does SEO stand for?","Site Engine Optimization","Search Engine Optimization","Secure External Operations","Site Element Organization","B","SEO is the practice of increasing the quantity and quality of traffic to your website through organic search engine results."
7,"Which HTML tag is considered one of the most important for SEO?","<p>","<div>","<title>","<br>","C","The <title> tag's content is what search engines often display as the main headline in search results."
7,"What is the purpose of the `<meta name=""description"">` tag?","To provide a one-sentence summary of the page, often used by search engines as a snippet.","To describe the images on the page.","To list the technologies used to build the page.","To set the background color of the page.","A","A well-written meta description can increase the click-through rate from search results."
7,"How does using headings (h1, h2, h3) correctly impact SEO?","It has no impact on SEO.","It helps search engines understand the structure and topic hierarchy of your content.","It slows down the website.","It hides the content from search engines.","B","A logical heading structure makes the content more readable for both users and crawlers."
7,"Why is the 'alt' text on an <img> tag important for SEO?","It styles the image.","It provides keywords that search engines can read to understand what an image is about.","It's the only way to make an image a link.","It loads a lower-resolution version of the image first.","B","Since search engines can't 'see' images, alt text provides crucial context."
7,"Are semantic HTML tags (like <nav>, <article>, <main>) good for SEO?","No, search engines ignore them.","They have a small negative impact.","Yes, they help search engines better understand the role and importance of content on a page.","Only the <main> tag matters.","C","A clear structure helps crawlers index your site more effectively."
7,"What is a 'keyword' in the context of SEO?","A special HTML tag.","A word or phrase that users type into search engines.","The name of your HTML file.","A password for your website.","B","Content should be created around keywords relevant to what your audience is searching for."
7,"Is having a mobile-friendly (responsive) website important for SEO?","No, search engines only care about the desktop version.","Yes, search engines like Google prioritize mobile-friendly sites in their rankings.","It only matters for e-commerce sites.","It has a very minor impact.","B","This is part of Google's 'mobile-first indexing' approach."
7,"How can descriptive link text (e.g., ""Learn more about our services"") help SEO compared to ""Click Here""?","It has no effect.","'Click Here' is better because it's short.","Descriptive text gives search engines and users context about where the link leads.","It makes the link open faster.","C","Good anchor text is a valuable SEO signal."
7,"What is the old `<meta name=""keywords"">` tag used for?","It's still very important for ranking.","It's a mandatory tag for all pages.","It used to list keywords for a page, but today most search engines ignore it.","It's for defining variables in JavaScript.","C","Focusing on quality content is far more important than the meta keywords tag."
7,"Should the <title> of every page on your website be the same?","Yes, for consistency.","No, each page should have a unique, descriptive title that reflects its specific content.","It doesn't matter.","Yes, but only if the domain name is included.","B","Unique titles help search engines differentiate your pages and rank them for relevant queries."
7,"A good URL structure for SEO is...","Long and full of numbers (e.g., /p?id=12345).","Short, descriptive, and easy to read (e.g., /services/web-design).","Not important at all.","Always ending in .html.","B","User-friendly URLs are also search-engine-friendly URLs."
7,"Why is page load speed considered an SEO ranking factor?","It's not a ranking factor.","Faster pages provide a better user experience, which search engines want to promote.","Faster pages are more secure.","Search engines charge more for slow pages.","B","Users are more likely to abandon a slow-loading site, which increases bounce rate."
7,"Using an <h1> tag for your logo on every page is a good SEO practice.","True","False","","","B","The <h1> should be reserved for the unique, main title of the page's content, not a repeating element like a logo."
7,"What is a 'sitemap' in the context of SEO?","A page on your site for users to navigate.","An XML file you can submit to search engines to help them find and index all your pages.","A visual design of your website.","Both A and B.","D","There is the HTML sitemap for users and the XML sitemap for search engines. The XML one is key for SEO."
7,"Does having broken links (links to 404 pages) on your site affect SEO?","No, search engines don't care.","Yes, it can negatively impact user experience and SEO.","It only matters for external links.","It's actually good for SEO.","B","A site with many broken links can appear neglected or low-quality."
7,"The `<meta name=""description"">` should be...","A list of keywords.","An engaging summary of the page content, around 150-160 characters.","The same as the page title.","As long as possible.","B","It's an ad for your page in the search results, so make it compelling."
7,"Which is better for SEO?","<h1>My Page</h1><h2>Section 1</h2><h3>Subsection A</h3>","<h1>My Page</h1><h1>Section 1</h1><h1>Subsection A</h1>","<h3>My Page</h3><h2>Section 1</h2><h1>Subsection A</h1>","<h2>My Page</h2><h3>Section 1</h3><h1>Subsection A</h1>","A","Headings should be used in a logical, hierarchical order."
7,"How does `rel=""nofollow""` on a link impact SEO?","It tells search engines to give the linked page more authority.","It tells search engines not to 'follow' the link or pass any ranking authority to it.","It's a required attribute for all links.","It makes the link invisible.","B","It's often used for paid links or links in user-generated content."
7,"Is it a good idea to hide text from users but show it to search engines (e.g., white text on a white background)?","Yes, this is a great SEO trick.","No, this is called 'cloaking' and can get your site penalized or banned from search results.","It doesn't make a difference.","Only if the text is very important.","B","Practices that try to deceive search engines are known as 'black-hat SEO' and are very risky."
8,"Which element defines a self-contained piece of content, such as a blog post, that could be distributed on its own?","<section>","<main>","<article>","<details>","C","<article> is the most semantic choice for standalone content."
8,"To create a form that sends data to 'submit.php', what is the correct syntax?","<form action=""submit.php"">","<form method=""submit.php"">","<form href=""submit.php"">","<form send=""submit.php"">","A","The 'action' attribute specifies the processing URL for the form data."
8,"What is the purpose of the <!DOCTYPE html> declaration?","It's a comment.","It tells the browser the page is written in HTML5.","It links to the CSS file.","It defines the page title.","B","It is the very first thing in your HTML document and ensures standards mode."
8,"How do you create a link that opens in a new tab?","<a href=""..."" newtab>","<a href=""..."" target=""_new"">","<a href=""..."" target=""_blank"">","<a href=""..."" window=""external"">","C","target=""_blank"" is the standard way to open a link in a new Browse context."
8,"Which of these is NOT a valid input type?","<input type=""checkbox"">","<input type=""""radio"""">","<input type=""button"">","<input type=""text-area"">","D","For a multi-line text area, you must use the separate <textarea> tag."
8,"What is the correct way to add an accessible label to a form input?","<label for=""name"">Name:</label> <input id=""name"">","<label>Name: <input name=""name""></label>","<input placeholder=""Name:"">","<input aria-label=""Name"">","A","Using the 'for' and 'id' attributes is the most robust and accessible method."
8,"Which tag defines a thematic break or horizontal rule?","<break>","<line>","<hr>","<rule>","C","<hr> is used to separate content sections."
8,"What is the difference between an ordered list (<ol>) and an unordered list (<ul>)?","<ol> uses numbers or letters; <ul> uses bullet points.","<ol> is for navigation; <ul> is for content.","<ul> is newer than <ol>.","There is no difference in their output.","A","'ol' stands for ordered list, 'ul' for unordered list."
8,"The best tag for the main heading of your page content is:","<heading>","<h1>","<title>","<main-head>","B","<h1> carries the most semantic weight for a page's main topic."
8,"How can you make an image a clickable link?","<img href=""page.html"" src=""img.jpg"">","<a href=""page.html""><img src=""img.jpg""></a>","<link href=""page.html""><img src=""img.jpg""></link>","<img link=""page.html"">","B","You wrap the <img> tag within an <a> tag."
8,"Which element is intended for content that is tangentially related to the main content, like a sidebar?","<aside>","<section>","<sidebar>","<extra>","A","<aside> is the semantically correct choice for secondary content."
8,"What does the 'alt' attribute on an image do?","Provides alternate text for screen readers and when the image fails to load.","Sets the alignment of the image.","Adds a title tooltip to the image.","Links the image to another resource.","A","Alt text is critical for accessibility and SEO."
8,"How do you make a table cell span two columns?","<td rowspan=""2"">","<td span=""2"">","<td col=""2"">","<td colspan=""2"">","D","'colspan' stands for 'column span'."
8,"Which tag contains metadata about the HTML document, like the character set and title?","<body>","<meta>","<header>","<head>","D","The <head> element contains all the non-visible setup information for the page."
8,"To make an input field required for form submission, you use which attribute?","validate","needed","required","must-fill","C","The 'required' attribute is a simple boolean attribute for form validation."
8,"Which element is best for grouping a set of navigation links?","<menu>","<div>","<ul>","<nav>","D","<nav> provides semantic meaning that this is a navigation block."
8,"What is the purpose of the <iframe> element?","To create a form.","To embed another HTML document within the current one.","To define an image.","To format text with italics.","B","An iframe is like a window to another webpage."
8,"How do you write a comment in HTML?","// This is a comment","/* This is a comment */","' This is a comment","<!-- This is a comment -->","D","HTML comments are enclosed in `<!--` and `-->`."
8,"Which of these tags is a semantic element for a page's footer?","<bottom>","<end>","<footer>","<foot>","C","<footer> is used for the bottom section of a page or article."
8,"To select one option from a dropdown list, you would use:","A set of radio buttons.","<select> with <option> tags.","<input type=""dropdown"">","A set of checkboxes.","B","The <select> element creates a dropdown menu."
8,"What is the main purpose of using `aria-label`?","To provide a visible label for an element.","To provide a label for assistive technologies when a visible label is not present.","To link a label to a form control.","To style an element.","B","It's an important attribute for making icon-only buttons accessible."
8,"What is the correct tag for displaying a block of preformatted text or code, preserving spaces and line breaks?","<code>","<format>","<pre>","<samp>","C","<pre> stands for 'preformatted'."
8,"Which tag would you use for text that has been struck through or deleted?","<strike>","<s>","<del>","Both B and C","D","Both <s> (strikethrough) and <del> (deleted text) render as strikethrough text, but <del> has more semantic meaning."
8,"The `<meta name=""viewport"">` tag is crucial for...","SEO","Responsive Web Design","Linking JavaScript files","Creating tables","B","It controls how the page is scaled and displayed on different device widths."
8,"What is the difference between <b> and <strong>?","There is no difference.","<b> is for bold, <strong> is for bigger text.","<b> is purely presentational, while <strong> indicates semantic importance.","<b> is for headings, <strong> is for paragraphs.","C","For accessibility, prefer <strong> when the text is truly important."
8,"To create a link that jumps to a section with `id=""top""` on the same page, you would use:","<a href=""top"">","<a href=""#top"">","<a link=""#top"">","<a id=""top"">","B","The '#' indicates an on-page anchor link."
8,"Which element defines a single row in a table?","<td>","<col>","<th>","<tr>","D","<tr> stands for 'table row'."
8,"What is the default behavior of `target=""_blank""`?","Opens the link in the same tab.","Opens the link in a new tab.","Prevents the link from being clicked.","Opens the link in the parent frame.","B","It's used to navigate away without losing the user's place on the original page."
8,"For a company's logo, which is usually at the top of every page, what is the best heading tag to use?","<h1>","<h2>","<h6>","None, it should just be an <img> tag, possibly within the <header>.","D","A logo is not a heading. Using an <h1> for it would be bad for SEO and semantics."
8,"How do you create a checkbox?","<input type=""checkbox"">","<input type=""check"">","<checkbox>","<input type=""box"">","A","This creates a standard square checkbox."
8,"The `<caption>` tag is used with which element?","<img>","<form>","<table>","<figure>","C","It provides a title or caption for a table."
8. ,"Which attribute specifies the URL of the media file in the `<video>` tag?","href","link","src","media","C","'src' stands for source and points to the video file."
8. ,"What is the most semantically correct element for the main content block of your website?","<div>","<section id=""main"">","<main>","<content>","C","The <main> tag was specifically created for this purpose."
8. ,"How do you group a set of radio buttons together so only one can be selected?","Give them the same `id`.","Put them in the same `<fieldset>`.","Give them the same `name` attribute.","Give them the same `value`.","C","The 'name' attribute defines the group for radio buttons."
8. ,"Which of these is used for short, inline quotations?","<blockquote>","<q>","<quote>","<p>","B","<q> is for inline quotes, while <blockquote> is for block-level quotes."
